"REQUEST YOUR QUOTE","Fragen Sie Ihr Angebot an"
"Shipping Partner","Versandpartner"
"More","Mehr"
"View Cart","Warenkorb ansehen"
"Spotted on Instagram","Auf Instagram entdeckt"
"Spotted on Facebook","Folge uns auf Facebook"
"READ MORE","Mehr lesen"
"SEE MORE","Mehr sehen"
"WHAT PEOPLE ARE SAYING ABOUT US","WAS KUNDEN ÜBER UNS SAGEN"
"Shop By","Filtern nach"
"Place Your Order","Bestellung aufgeben"
"Change country","Land wählen"
"SEE THE WHOLE TEAM","DAS KOMPLETTE TEAM"
"How Do I Make My Own Custom Case","WIE FANGE ICH MIT DEM GESTALTEN AN"
"Business Order?","GESCHÄFTLICHE BESTELLUNG"
"Add Accessories To Your Order","FÜGE DEINER BESTELLUNG ACCESSOIRES HINZU"
"Sort By","Sortieren nach"
"OTHER CUSTOMERS HAVE LIKED","ANDEREN KUNDEN GEFÄLLT"
"Related Searches:","ähnliche Suchergebnisse"
"Your order has been received.","Ihre Bestellung ist bei uns eingegangen!"
"Color %1 is out of stock and will be shipped on %2.","Die Farbe %1 ist im Moment leider nicht auf Lager und wird am %2 versendet."
"View Details","Auswählen"
"SHOW MORE","ZEIG MEHR"
"SHOW LESS","ZEIGE WENIGER"
"Search","Hülle oder gerät suchen"
"Add a Special Notecard","F&Uuml;GE EINE PERS&Ouml;NLICHE NACHRICHT HINZU"
"Please type your card text here...","Füge hier bitte deinen Text ein..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Der Text hat ein Maximum von 5 Zeilen. Bitte benutze keine Emojis oder Sonderzeichen."
"Select a Gift Wrapping","Wähle eine Geschenkverpackung"
"Select your gift wrapping","Wähle Ihre Geschenkverpackung"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Schenke etwas unvergessliches, mit unseren originellen Geschenkverpackungen. Dein Geschenk sollte sowohl von innen als auch von außen glänzen!"
"No thank you","Nein Danke"
"Coupon code ""%s"" was applied.","Der Discountcode ""%s"" wird beim Checkout oder der Bezahlung hinzugefügt."
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Achtung</strong>: Groß-/Kleinschreibung des CAPTCHA beachten."
"After number of attempts to login","Nach Anzahl von Loginversuchen"
"Always","Immer"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Zeitüberschreitung (Minuten)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA für ""Benutzer anlegen"" und ""Passwort vergessen"" ist, wenn ausgewählt, immer aktiv"
"Case Sensitive","Groß-/Kleinschreibung beachten"
"Displaying Mode","Darstellungsart"
"Enable CAPTCHA in Admin","CAPTCHA im AdminPanel aktivieren"
"Enable CAPTCHA on Frontend","CAPTCHA im Frontend aktivieren"
"Font","Schrift"
"Forms","Formulare"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Wenn 0 angegeben wird, ist das CAPTCHA im Anmeldeformular immer aktiv."
"Incorrect CAPTCHA.","CAPTCHA nicht korrekt."
"Number of Symbols","Zeichenanzahl"
"Number of Unsuccessful Attempts to Login","Anzahl fehlgeschlagener Anmeldeversuche"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Bitte maximal 8 Zeichen - Bereich angeben ist möglich (3-5)"
"Please type the letters from the image:","Bitte geben Sie die Zeichen auf dem Bild ein:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Bitte verwenden Sie nur Buchstaben (a-z oder A-Z) oder Ziffern (0-9) in diesem Feld. Leerzeichen oder andere Zeichen sind nicht erlaubt.<br />Ähnlich aussehende Zeichen (z. B. ""i"", ""l"", ""1"") erschwerden Ihrem Kunden die korrekte Eingabe des CAPTCHAS."
"Reload captcha","CAPTCHA neuladen"
"Symbols Used in CAPTCHA","Im CAPTCHA verwendete Zeichen"
"# of Use","Anzahl der Verwendungen"
"%1$s incl tax.","%1$s inkl. Steuern."
"%s - %s","%s - %s"
"%s and above","%s und höher "
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiere Daten von: %s)"
"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte wählen --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 als Standard, falls nicht gesetzt. Um die Instanz zu aktualisieren, deaktivieren Sie den Cache für die Ausgabe von HTML-Blöcken."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warnung:</strong> Die standardmäßige Anwendung der UVP wird alle Artikelpreise im Shop verstecken!"
"A group with the same name already exists.","Eine Gruppe mit dem selben Namen existiert bereits."
"A name is required","Ein Name wird benötigt"
"A product type is not defined for the indexer.","Eine Artikelart ist noch nicht definiert für den Indexer."
"ALL GROUPS","Alle Kundengruppen"
"AM","AM"
"Action","Aktion"
"Actual Price","Tatsächlicher Preis"
"Add Attribute","Attribut hinzufügen"
"Add Design Change","Gestaltungsänderung hinzufügen"
"Add Group","Gruppe hinzufügen"
"Add Group Price","Gruppenpreis hinzufügen"
"Add New","Neu"
"Add New Attribute","Neues Attribut hinzufügen"
"Add New Attribute Set","Neues Attributset"
"Add New Group","Neue Gruppe"
"Add New Images","Neue Bilder"
"Add New Option","Neue Option"
"Add New Row","Zeile hinzufügen"
"Add New Search Term","Neue Suchanfragen"
