"REQUEST YOUR QUOTE","Demandez un devis"
"Shipping Partner","Livraison via"
"More","Plus"
"ALL REVIEWS","TOUS LES AVIS"
"View Cart","Voir Le Panier"
"Spotted on Instagram","Vu sur Instagram"
"Spotted on Facebook","Aimez-nous sur Facebook"
"READ MORE","LIRE PLUS"
"SEE MORE","VOIR PLUS"
"WHAT PEOPLE ARE SAYING ABOUT US","LIRE LES AVIS SUR NOUS"
"Shop By","Filtrer par"
"Place Your Order","Commandez"
"Change country","Changer de pays"
"SEE THE WHOLE TEAM","VOIR L'ÉQUIPE COMPLÈTE"
"How Do I Make My Own Custom Case","COMMENT PERSONNALISER SON PRODUIT"
"BUSINESS ORDER?","COMMANDE B2B"
"ADD ACCESSORIES TO YOUR ORDER","AJOUTEZ DES ACCESSOIRES À VOTRE COMMANDE"
"Sort By","Trier par"
"OTHER CUSTOMERS HAVE LIKED","QUE CHERCHEZ-VOUS ?"
"Related Searches:","Termes de recherche associés"
"Your order has been received.","Votre commande a été reçue !"
"Color %1 is out of stock and will be shipped on %2.","La couleur %1 est actuellement en rupture de stock et sera envoyée le %2."
"Add a Special Notecard","AJOUTER UN MESSAGE SP&Eacute;CIAL"
"Please type your card text here...","Ecrivez votre texte ici..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Le texte peut contenir un maximum de 5 lignes. N'utilisez pas d'émoticones ou de caractères spéciaux."
"Select a Gift Wrapping","SÉLECTIONNEZ UN EMBALLAGE CADEAU"
"Select your gift wrapping","Sélectionnez votre emballage cadeau"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Faites un cadeau inoubliable avec l'une de nos options d'emballage cadeaux originales. Votre cadeau doit être aussi beau à l'exterieur qu'à l'interieur!"
"No thank you","Non merci"
"One or more items in your order are not on stock. Your total order will be shipped on %s","Un ou plusieurs articles de votre commande sont en rupture de stock actuellement. Une fois complète, votre commande sera expédiée le %s"
"Please select one or more attributes.","Veuillez sélectionner un ou plusieurs attributs."
"Shipping Address","Adresse de livraison"
"Existing customer? Log in to your account","Déjà client? Connectez-vous à votre compte"
"Start typing your address or zip/postal code","Commencez à saisir votre adresse ou votre code postal"
"Not yet calculated","Pas encore calculé"
"My billing and shipping address are the same","Mon adresse de facturation et mon adresse de livraison sont les mêmes"
"Street Name","Nom de la rue"
"House Number","Numero"
"Additional Address","Complément d'adresse"
"Checkout Review","Examen de la caisse"
"Newsletter Subscriptions", "Abonnement à la Newsletter"
"Privacy Settings", "Paramètres de confidentialité"
"Select location","Sélectionnez l'emplacement"
"To place your order, you must agree to the terms and conditions.","Pour passer votre commande, vous devez accepter les termes et conditions."
"Enter Keyword or Item","Entrez un mot-clé ou un élément"
"Search entire store here...","Parcourez le magasin entier ici..."
"Bestsellers", "Meilleures ventes"
"Items %1-%2 of %3 total","Articles %1-%2 sur %3 au total"
"%1 Item","%1 Article"
"%1 Items","%1 Éléments"
"Prev","Précédent"
"Previous","Précédent"
"Next","Suivant"
"Your search returned no products.","Votre recherche n'a renvoyé aucun produit."
"Search results for: '%1'","Résultats de recherche pour: '%1'"
"There are no products matching the selection.","Aucun produit ne correspond à la sélection."
"Home","Accueil"
"Recently Viewed Products","Derniers Produits Consultés"
"Your search returned no results.","Votre recherche n'a donné aucun résultat."
"Show","Spectacle"
"per page","par page"
"Did you mean","Vouliez-vous dire"
"Related Terms","Termes Connexes"
"This is a required field.","Ceci est un champ obligatoire."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","La commande n'a pas été passée. Tout d'abord, acceptez les termes et conditions, puis réessayez de passer votre commande."
"Change Country", "Changer de pays"
"Checkout","Commander"
"Order now and your order will be shipped on %s!","Commandez maintenant et votre commande sera expédiée le %s!"
"Order now and your order will be shipped on %1!","Commandez maintenant et votre commande sera expédiée le %1!"
"Edit","Éditer"
"You added %s to your shopping cart.","Vous avez ajouté %s à votre panier."
"You added %1 to your shopping cart.","Vous avez ajouté %1 à votre panier."
"We can't add this item to your shopping cart right now.","Nous ne pouvons pas ajouter cet article à votre panier pour le moment."
"Cart Subtotal","Sous-total Du Panier"
"Recently added item(s)","Articles ajoutés récemment"
"Tax","TVA & autres taxes"
"Print receipt", "Imprimer le reçu"
"Your order # is: %1.", "Votre numéro de commande est: %1."
"We'll email you an order confirmation with details and tracking info.", "Nous vous enverrons par e-mail une confirmation de commande avec les détails et les informations de suivi."
"We expect to ship your order on %1 and your order will be delivered on %2.", "Nous prévoyons d'expédier votre commande le %1 et votre commande sera livrée le %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "Nous prévoyons d'expédier votre commande le %1 et votre commande sera livrée entre le %2 et le %3."
"We expect to ship your order on %1.", "Nous prévoyons d'expédier votre commande le %1."
"Sign In","Connexion"
"Sign Out","Déconnexion"
"The requested qty exceeds the maximum qty allowed in shopping cart","La quantité demandée dépasse la quantité maximale autorisée dans le panier"
"Are you sure you would like to remove this item from the shopping cart?","Voulez-vous vraiment supprimer cet article du panier?"
"The shipping method is missing. Select the shipping method and try again.","Le mode d'expédition est manquant. Sélectionnez le mode d'expédition et réessayez."
"Back to Store","Retour au magasin"
"For delivery questions.","Pour les questions de livraison."
"Ship here","Expédier ici"
"Subscribe to Newsletter","S'abonner à la newsletter"
"Some addresses can't be used due to the configurations for specific countries.","Certaines adresses ne peuvent pas être utilisées en raison des configurations pour des pays spécifiques."
