"REQUEST YOUR QUOTE","ANMOD OM CITAT"
"Shipping Partner","Forsendelses partner"
"More","Mere"
"ALL REVIEWS","ALLE ANMELDELSER"
"View Cart","Se Kurv"
"Spotted on Instagram","Som set på Instagram"
"Spotted on Facebook","Som set på Facebook"
"READ MORE","Læs mere"
"SEE MORE","SE MERE"
"WHAT PEOPLE ARE SAYING ABOUT US","HVAD SIGER VORES KUNDER OM OS"
"Shop By","Sorter efter"
"Place Your Order","Placer din ordre"
"Change country","Skift sprog"
"SEE THE WHOLE TEAM","SE HELE HOLDET"
"How Do I Make My Own Custom Case","HVORDAN DESIGNER JEG MIT EGET COVER"
"BUSINESS ORDER?","FIRMA ORDRE?"
"ADD ACCESSORIES TO YOUR ORDER","TILFØJ ACCESSORIES TIL DIN ORDRE"
"Sort By","Sorter efter"
"OTHER CUSTOMERS HAVE LIKED","ANDRE KUNDER KUNNE OGSÅ LIDE"
"Nickname","Alias"
"Related Searches:","Relaterede søgeresultater:"
"Your order has been received.","Din ordre er modtaget"
"Color %1 is out of stock and will be shipped on %2.","Farven %1 er ikke på lager og vil blive sendt %2."
"REQUEST A QUOTE FOR:","ANMOD OM CITAT FOR:"
"SEE LESS","VIS MINDRE"
"Free Shipping","Gratis fragt"
"OPENING POSITIONS", "ÅBNE JOBS"
"Development", "Programmering"
"Marketing & Sales", "Marketing og salg"
"Operations & Support", "Drift og kundeservice"
"Finance", "Finans"
"HR", "HR"
"On working days: Order before 4pm, shipped today", "På hverdage: Bestillinger før kl. 16 afsendes samme dag"
"ONTWERP NU!", "DESIGN NU!"
"Type of order", "Ordretype"
"Private", "Privatkunde"
"Business", "Firmakunde"
"ADDRESS VALIDATION", "Find automatisk adresse"
"Fill out your postcode and housenumber to auto-complete your address. You can also manually set your address information.", "Udfyld dit postnummer og husnummer for at benytte automatisk udfyldning. Du kan også gøre det manuelt"
"POSTCODE", "POSTNUMMER"
"HOUSENUMBER", "HUSNUMMER"
"FILL OUT ADDRESS INFORMATON MANUALLY", "UDFYLD ADRESSEINFORMATION MANUELT"
"TELEFOONNUMMER (10 CIJFERS)", "Tlf nummer (8 cifre)"
"SHIP TO THE SAME ADDRESS", "Send min ordre til denne adresse"
"E-MAILADRESSE", "E-MAIL ADRESSE"
"Street Name","Vejnavn"
