"Design now!","¡Personalízala ya!"
"Sign In","Iniciar sesión"
"Sign Out","Cerrar sesión"
"REQUEST YOUR QUOTE","SOLICITA TU PRESUPUESTO"
"Shipping Partner","Transportistas"
"More","Más"
"More Information","Información adicional"
"ALL REVIEWS","TODAS LAS OPINIONES"
"View Cart","Ver Carrito"
"Spotted on Instagram","Visto en Instagram"
"Spotted on Facebook","Visto en Facebook"
"READ MORE","LEER MÁS"
"SEE MORE","VER MÁS"
"WHAT PEOPLE ARE SAYING ABOUT US","LO QUE LA GENTE DICE DE NOSOTROS"
"Shop By","Comprar por"
"Place Your Order","Realiza tu pedido"
"Change country","Cambiar país"
"SEE THE WHOLE TEAM","VER EL EQUIPO COMPLETO"
"Currently Shopping by:","Filtrando actualmente por:"
"How Do I Make My Own Custom Case","COMO PERSONALIZAR EL PRODUCTO"
"Business Order?","&iquest;PEDIDO DE EMPRESA?"
"Add Accessories To Your Order","AÑADIR ACCESORIOS A TU PEDIDO"
"Sort By","Clasificar por"
"OTHER CUSTOMERS HAVE LIKED","OTROS CLIENTES ESCOGIERON"
"Nickname","Apodo"
"ADD TO CART","AÑADIR AL CARRITO"
"Related Searches:","Búsquedas relacionadas:"
"Your order has been received.","Tu pedido ha sido recibido."
"Color %1 is out of stock and will be shipped on %2.","El color %1 está agotado y será enviado el %2."
"REQUEST A QUOTE FOR:","SOLICITAR UN PRESUPUESTO PARA:"
"SEE LESS","VER MENOS"
"Free Shipping","Envío estándar"
"shipment_text_producing_days_1","Pedidos realizados antes de las 16:00h en días laborables, enviados en el mismo día."
"shipment_text_producing_days_2","Pedidos realizados antes de las 16:00h estarán listos para ser enviados en 2 días laborables."
"shipment_text_producing_days_3","Pedidos realizados antes de las 16:00h estarán listos para ser enviados en 3 días laborables."
"shipment_text_producing_days_4","Pedidos realizados antes de las 16:00h estarán listos para ser enviados en 4 días laborables."
"shipment_text_producing_days_5","Pedidos realizados antes de las 16:00h estarán listos para ser enviados en 6 días laborables."
"shipment_text_producing_days_8","Pedidos realizados antes de las 16:00h estarán listos para ser enviados en 8 días laborables."
"shipment_text_producing_days_10","Pedidos realizados antes de las 16:00h estarán listos para ser enviados en 10 días laborables."
"color_%s_shipment_text_producing_days_%s","El artículo %s estar listo para ser enviado en %s diacute;a(s) laborable(s)."
"The total production time of the items in your basket is: %s days.","El tiempo total de producción de los productos de tu carrito es de: % días. Estos deben ser añadidos al tiempo de envío más abajo."
"Add a Special Notecard","A&Ntilde;ADE UNA DEDICATORIA ESPECIAL"
"Please type your card text here...","Por favor, escribe tu texto aquí..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","El texto tiene un máximo de 5 líneas. No utilices emoticonos o caracteres especiales."
"Select a Gift Wrapping","ELIGE UN ENVOLTORIO DE REGALO"
"Select your gift wrapping","Elige tu envoltorio de regalo"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Haz un regalo inolvidable con uno de nuestros originales envoltorios. Tu regalo brillará por dentro y por fuera!"
"No thank you","No, gracias"
"One or more items in your order are not on stock. Your total order will be shipped on %s","Uno o más artículos en tu pedido no están en stock. Tu pedido total será enviado el %s"
"Coupon code ""%s"" was applied.","El código de descuento ""%s"" será aplicado en tu página de pago."
"Mage_Catalog::Position","Favoritos"
"Delete Account","Eliminar Cuenta"
"Your account has been successfully deleted and/or anonymised.","Tu cuenta ha sido eliminada y/o anonimizada con éxito."
