"REQUEST YOUR QUOTE","Demandez un devis"
"Shipping Partner","Livraison via"
"More","Plus"
"ALL REVIEWS","TOUS LES AVIS"
"View Cart","Voir Le Panier"
"Spotted on Instagram","Vu sur Instagram"
"Spotted on Facebook","Aimez-nous sur Facebook"
"READ MORE","LIRE PLUS"
"SEE MORE","VOIR PLUS"
"WHAT PEOPLE ARE SAYING ABOUT US","LIRE LES AVIS SUR NOUS"
"Shop By","Filtrer par"
"Place Your Order","Commandez"
"Change country","Changer de pays"
"SEE THE WHOLE TEAM","VOIR L'ÉQUIPE COMPLÈTE"
"How Do I Make My Own Custom Case","COMMENT PERSONNALISER SON PRODUIT"
"Business Order?","COMMANDE B2B"
"Add Accessories To Your Order","AJOUTEZ DES ACCESSOIRES À VOTRE COMMANDE"
"Sort By","Trier par"
"OTHER CUSTOMERS HAVE LIKED","QUE CHERCHEZ-VOUS ?"
"Nickname","Surnom"
"Related Searches:","Termes de recherche associés"
"Your order has been received.","Votre commande a été reçue !"
"Color %1 is out of stock and will be shipped on %2.","La couleur %1 est actuellement en rupture de stock et sera envoyée le %2."
"Free Shipping","Expédition standard"
"Free Shipping123","asdfasdf Expédition standard"
"shipment_text_producing_days_1","Commande avant 16h un jour ouvré, prête à être expéédiée le jour même."
"shipment_text_producing_days_2","Commande passée avant 16h, prête à être expédiée sous 2 jours ouvrés."
"shipment_text_producing_days_3","Commande passée avant 16h, prête à être expédiée sous 3 jours ouvrés."
"shipment_text_producing_days_4","Commande passée avant 16h, prête à être expédiée sous 4 jours ouvrés."
"shipment_text_producing_days_5","Commande passée avant 16h, prête à être expédiée sous 6 jours ouvrés."
"shipment_text_producing_days_8","Commande passée avant 16h, prête à être expédiée sous 8 jours ouvrés."
"shipment_text_producing_days_10","Commande passée avant 16h, prête à être expédiée sous 10 jours ouvrés."
"color_%s_shipment_text_producing_days_%s","Cet article %s sera prêt à être expédié dans les %s jour(s) ouvré(s)."
"The total production time of the items in your basket is: %s days.","Les articles dans votre panier seront prêts à être expédiés dans les %s jour(s) ouvré(s). Ceux-ci doivent être ajoutés au délai de livraison ci-dessous."
"Add a Special Notecard","AJOUTER UN MESSAGE SP&Eacute;CIAL"
"Please type your card text here...","Ecrivez votre texte ici..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Le texte peut contenir un maximum de 5 lignes. N'utilisez pas d'émoticones ou de caractères spéciaux."
"Select a Gift Wrapping","SÉLECTIONNEZ UN EMBALLAGE CADEAU"
"Select your gift wrapping","Sélectionnez votre emballage cadeau"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Faites un cadeau inoubliable avec l'une de nos options d'emballage cadeaux originales. Votre cadeau doit être aussi beau à l'exterieur qu'à l'interieur!"
"No thank you","Non merci"
"One or more items in your order are not on stock. Your total order will be shipped on %s","Un ou plusieurs articles de votre commande sont en rupture de stock actuellement. Une fois complète, votre commande sera expédiée le %s"
"REQUEST A QUOTE FOR:","DEMANDER UN DEVIS POUR:"
"Coupon code ""%s"" was applied.","Le code promotionnel "" %s "" sera appliqué sur votre page de paiement."
"Mage_Catalog::Position","Popularité"
"Delete Account","Supprimer un compte"
"Your account has been successfully deleted and/or anonymised.","Votre compte a été supprimé et/ou rendu anonyme."
"If you proceed to delete your account, all account data we hold about you will be destroyed or anonymised. This operation cannot be un-done.","Si vous procédez à la suppression de votre compte, toutes les données de compte que nous détenons à votre sujet seront effacées ou rendues anonymes. Cette opération ne peut pas être annulée."
"Delete my account","Supprimer mon compte"
"Make a picture of your purchase to clearly illustrate your issue","Faites une photo de votre achat afin d'illustrer clairement votre problème."
"Type your comment in 200 characters here...","Tapez ici votre message en 200 caractères maximum"
"Upload","Télécharger"
"2nd Line Address","informations complémentaires"
"not_tracked","Envoi non suivi"
"tracked_without_sign","Suivi et remis sans signature"
"tracked_with_sign","Suivi  et remis avec signature"
"moneyback_guarantee","Livraison garantie"
"House No.","Numéro"
"Your order is expected to be ready for shipping on %s","Votre commande sera prête à être expédiée le %s"
"Street","Rue"
"Create account for later use","Créer un compte pour une utilisation ultérieure"
"Delivery","Mode de livraison"
"Estimated delivery:","Livraison estimée:"
"Estimated delivery","Livraison estimée"
"Collect from a pick-up point","Livrer dans un point relais"
"Collect your parcel at a time that is convenient for you","Récupérer votre colis au moment qui vous convient"
"No invoice included in the parcel","La facture n'est pas incluse dans le colis"
"%s - %s","livrée entre %s et %s"
"Order now and your order will be shipped on %s!","Commandez maintenant et votre commande sera expédiée le %s!"
"Order now and your order will be shipped on %1!","Commandez maintenant et votre commande sera expédiée le %1!"
"We expect to ship your order on %s and your order will be delivered on %s","Nous prévoyons d'expédier votre commande le %s et votre commande sera livrée le %s"
"We expect to ship your order on %s and your order will be delivered between %s and %s","Nous prévoyons d'expédier votre commande le %s et votre commande sera livrée entre %s et %s"
"upload_photo","Choisir une image"
"change_picture","Changer d'image"
"rotate_left","Pivoter"
"rotate_right","Pivoter"
"show_design","Afficher le design"
"case_color","Couleur de la coque"
"design_studio_link","Pour plus d'options de personnalisation, rendez-vous dans notre Studio de création"
"design_studio_popup_text","Vous voulez ajouter plusieurs images, textes et filtres?"
"design_studio_popup_link","Jetez un coup d'œil à notre Studio de création!"
"Reason for cancelation","Raison de l'annulation"
"Wrong product","J'ai commandé le mauvais produit"
"Changed mind","J'ai changé d'avis"
