"REQUEST YOUR QUOTE","RICHIEDI IL TUO PREVENTIVO"
"Shipping Partner","Spedizionieri"
"More","Più"
"All Reviews","TUTTE LE RECENSIONI"
"View Cart","Vai Al Carrello"
"Spotted on Instagram","Avvistato su Instagram"
"Spotted on Facebook","Avvistato su Facebook"
"Read More","CONTINUA A LEGGERE"
"See More","VEDI DI PIÙ"
"WHAT PEOPLE ARE SAYING ABOUT US","COSA DICONO DI NOI"
"Shop By","Filtra Per"
"Place Your Order","Effettua Ordine"
"Change country","Cambia paese"
"SEE THE WHOLE TEAM","SCOPRI IL NOSTRO TEAM"
"Add Accessories To Your Order","AGGIUNGI ACCESSORI AL TUO ORDINE"
"Sort By","Ordina Per"
"OTHER CUSTOMERS HAVE LIKED","ALTRI CLIENTI HANNO SCELTO"
"Nickname","Soprannome"
"Related Searches:","Ricerche correlate:"
"Your order has been received.","Abbiamo ricevuto il tuo ordine"
"Color %1 is out of stock and will be shipped on %2.","Il colore %1 non è disponibile e sarà spedito il %2."
"REQUEST A QUOTE FOR:","RICHIEDI UN PREVENTIVO PER:"
"SEE LESS","VEDI MENO"
"Free Shipping","Spedizione standard"
"shipment_text_producing_days_1","Ordina prima delle 16:00 i giorni lavorativi, la spedizione viene effettuata lo stesso giorno."
"shipment_text_producing_days_2","Ordina prima delle 16:00, pronti a spedire in 2 giorni lavorativi."
"shipment_text_producing_days_3","Ordina prima delle 16:00, pronti a spedire in 3 giorni lavorativi."
"shipment_text_producing_days_4","Ordina prima delle 16:00, pronti a spedire in 4 giorni lavorativi."
"shipment_text_producing_days_5","Ordina prima delle 16:00, pronti a spedire in 6 giorni lavorativi."
"shipment_text_producing_days_8","Ordina prima delle 16:00, pronti a spedire in 8 giorni lavorativi."
"shipment_text_producing_days_10","Ordina prima delle 16:00, pronti a spedire in 10 giorni lavorativi."
"color_%s_shipment_text_producing_days_%s","Questo articolo di colore %s sarà pronto alla spedizione in %s giorn(i) lavorativ(i)."
"The total production time of the items in your basket is: %s days.","Gli oggetti nel carrello saranno spediti in %s giorn(i) lavorativ(i)."
"View Details","Mostra i dettagli"
"SHOW MORE","MOSTRA ANCORA"
"SHOW LESS","MOSTRA MENO"
"Search","Trovare rapidamente la propria cover"
"Add a Special Notecard","AGGIUNGI UNA NOTA SPECIALE"
"Please type your card text here...","Per favore scrivi qua..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Il testo deve essere massimo di 5 linee. Non utilizzare emoji o caratteri speciali."
"Select a Gift Wrapping","SELEZIONA UNA CARTA REGALO"
"Select your gift wrapping","Seleziona la tua carta regalo"
