"Design now!","Ontwerp nu!"
"Sign In","Inloggen"
"Sign Out","Log uit"
"REQUEST YOUR QUOTE","Vraag offerte aan"
"Shipping Partner","Verzending via"
"More","Meer"
"View Cart","Naar Winkelwagen"
"Spotted on Instagram","Gespot op Instagram"
"Spotted on Facebook","Like ons op Facebook"
"READ MORE","LEES VERDER"
"SEE MORE"," BEKIJK MEER"
"WHAT PEOPLE ARE SAYING ABOUT US","LEES REVIEWS OVER ONS"
"Shop By","Filter op"
"Place Your Order","Plaats bestelling"
"Change country","Verander land"
"SEE THE WHOLE TEAM","BEKIJK HET HELE TEAM"
"How Do I Make My Own Custom Case","HOE WERKT HET ONTWERPEN"
"Business Order?","ZAKELIJK BESTELLEN"
"Add Accessories To Your Order","VOEG ACCESSOIRES TOE AAN JE BESTELLING"
"OTHER CUSTOMERS HAVE LIKED","WAT VIND JE HIERVAN?"
"Related Searches:","Gerelateerde zoektermen"
"Your order has been received.","We hebben je bestelling ontvangen!"
"Color %1 is out of stock and will be shipped on %2.","De kleur %1 is momenteel uit voorraad en wordt verstuurd op %2."
"REQUEST A QUOTE FOR:","VRAAG OFFERTE AAN VOOR:"
"Coupon code ""%s"" was applied.","Kortingscode ""%s"" is toegevoegd."
"Last Ordered Items","Laatst besteld"
"Free Shipping","Standaard Levering"
"sale","Sale"
"shipment_text_producing_days_1","Op werkdagen voor 16:00 uur besteld, morgen in huis."
"shipment_text_producing_days_2","Bestel voor 16:00 uur en je bestelling wordt binnen 2 werkdagen verzonden."
"shipment_text_producing_days_3","Bestel voor 16:00 uur en je bestelling wordt binnen 3 werkdagen verzonden."
"shipment_text_producing_days_4","Bestel voor 16:00 uur en je bestelling wordt binnen 4 werkdagen verzonden."
"shipment_text_producing_days_5","Bestel voor 16:00 uur en je bestelling wordt binnen 6 werkdagen verzonden."
"shipment_text_producing_days_8","Bestel voor 16:00 uur en je bestelling wordt binnen 8 werkdagen verzonden."
"shipment_text_producing_days_10","Bestel voor 16:00 uur en je bestelling wordt binnen 10 werkdagen verzonden."
"color_%s_shipment_text_producing_days_%s","Dit %s artikel kan binnen %s werkdag(en) worden verzonden."
"The total production time of the items in your basket is: %s days.","Jouw bestelling bevat artikelen met een productietijd van %s dagen. Deze dienen opgeteld te worden bij onderstaande levertijd."
"Add a Special Notecard","VOEG EEN SPECIAAL BERICHT TOE"
"Please type your card text here...","Voer hier je tekst in..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","De tekst heeft een maximum van 5 regels. Gebruik geen emoji's of speciale tekens."
"Select a Gift Wrapping","KIES EEN CADEAUVERPAKKING"
"Select your gift wrapping","Kies je cadeauverpakking"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Maak je cadeau onvergetelijk met een van onze originele verpakkingsopties. Laat je cadeau opvallen met een van onze geweldige verpakkingen."
"No thank you","Nee, bedankt"
"One or more items in your order are not on stock. Your total order will be shipped on %s","Een of meerdere artikelen van je bestelling zijn niet op voorraad. Je complete bestelling wordt verstuurd op %s"
"Coupon code ""%s"" was applied.","De kortingscode ""%s"" wordt toegepast op de betaalpagina."
"Sort By","Sorteer"
"Mage_Catalog::Position","Populariteit"
"Delete Account","Account verwijderen"
"Your account has been successfully deleted and/or anonymised.","Uw account is succesvol verwijderd en/of geanonimiseerd."
"If you proceed to delete your account, all account data we hold about you will be destroyed or anonymised. This operation cannot be un-done.","Als u doorgaat met het verwijderen van uw account, worden alle accountgegevens die wij over u hebben vernietigd. Deze bewerking kan niet ongedaan worden gemaakt."
"Delete my account","Verwijder mijn account"
"Make a picture of your purchase to clearly illustrate your issue","Maak een foto van uw aankoop om uw probleem duidelijk weer te geven"
"Type your comment in 200 characters here...","Typ hier je reactie in 200 karakters"
"Upload","Upload"
"2nd Line Address","Toevoeging"
"not_tracked","Zonder tracking"
"tracked_without_sign","Track&Trace zonder handtekening"
"tracked_with_sign","Track&Trace met handtekening"
"moneyback_guarantee","Gegarandeerde levering"
"House No.","Huisnummer"
"Your order is expected to be ready for shipping on %s","Uw bestelling is naar verwachting gereed voor verzending op %s"
"Proceed to Checkout","Betalen"
"Street","Straat"
"Create account for later use","Maak een account voor later gebruik"
"Delivery","Verzendwijze"
"Estimated delivery:","Geschatte levering:"
"Estimated delivery","Geschatte levering"
"Collect from a pick-up point","Ophalen bij ophaalpunt"
"Collect your parcel at a time that is convenient for you","Haal je bestelling af op ieder gewenst tijdstip."
"No invoice included in the parcel","Geen factuur meegeleverd"
"Order now and your order will be shipped on %s!","Bestel nu en je bestelling wordt verzonden op %s!"
"Order now and your order will be shipped on %1!","Bestel nu en je bestelling wordt verzonden op %1!"
"We expect to ship your order on %s and your order will be delivered on %s","We verzenden je bestelling op %s en verwachten deze op %s bij je te bezorgen."
