"Design now!","Gör eget skal!"
"Sign In","Logga in"
"Sign Out","Logga ut"
"REQUEST YOUR QUOTE","BEGÄRA ETT CITAT"
"Shipping Partner","Fraktpartner"
"More","Mer"
"More Information","Mer information"
"ALL REVIEWS","ALLA RECENSIONER"
"View Cart","Visa Kundvagnen"
"Spotted on Instagram","Spotted på Instagram"
"Spotted on Facebook","Spotted på Facebook"
"READ MORE","LÄS MER"
"SEE MORE","SE MER"
"WHAT PEOPLE ARE SAYING ABOUT US","VILKA MEN SÄLJER OM OSS"
"Shop By","Filtrera efter"
"Place Your Order","Beställa"
"Change country","Ändra land"
"SEE THE WHOLE TEAM","SE HELA TEAMET"
"How Do I Make My Own Custom Case","HUR DESIGNA JAG"
"Business Order?","FÖRETAG BESTÄLLA?"
"Add Accessories To Your Order","LÄGG TILL TILLBEHÖR TILL DIN ORDER"
"Sort By","Sortera efter"
"OTHER CUSTOMERS HAVE LIKED","ANDRA KUNDER HAR LIKAT"
"ADD TO CART","LÄGG TILL I KUNDVAGNEN"
"Related Searches:","Relaterade sökningar"
"Your order has been received.","Din beställning har mottagits"
"Color %1 is out of stock and will be shipped on %2.","Färg %1 finns inte i lager och kommer att levereras den %2."
"Free Shipping","Gratis frakt"
"shipment_text_producing_days_1","Beställ före kl. 16.00, redo att skickas om 1 arbetsdag."
"shipment_text_producing_days_2","Beställ före kl. 16.00, redo att skickas om 2 arbetsdagar."
"shipment_text_producing_days_3","Beställ före kl. 16.00, redo att skickas om 3 arbetsdagar."
"shipment_text_producing_days_4","Beställ före kl. 16.00, redo att skickas om 4 arbetsdagar."
"shipment_text_producing_days_5","Beställ före kl. 16.00, redo att skickas om 6 arbetsdagar."
"shipment_text_producing_days_8","Beställ före kl. 16.00, redo att skickas om 8 arbetsdagar."
"shipment_text_producing_days_10","Beställ före kl. 16.00, redo att skickas om 10 arbetsdagar."
"color_%s_shipment_text_producing_days_%s","Den här produkten i %s är redo att skickas om %s arbetsdag(ar)."
"The total production time of the items in your basket is: %s days.","Varan i din kundvagn är redo att skickas om %s arbetsdag(ar)."
"Add a Special Notecard","Lägg till ett speciellt meddelandekort"
"Please type your card text here...","Var god skriv din text här..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Texten kan vara maximalt 5 rader. Använd inte emojis eller speciella tecken."
"Select a Gift Wrapping","Välj en presentförpackning"
"Select your gift wrapping","Välj en presentförpackning"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Gör en present att komma ihåg med ett av våra originala inpackningsalternativ. Din present ska skina på in och utsidan!"
"No thank you","Nej tack"
"Mage_Catalog::Position","Populäraste"
"Delete Account","Radera konto"
"Your account has been successfully deleted and/or anonymised.","Ditt konto har tagits bort och/eller anonymiserats."
"If you proceed to delete your account, all account data we hold about you will be destroyed or anonymised. This operation cannot be un-done.","Om du fortsätter att radera ditt konto kommer all kontodata vi håller om dig att bli förstörd eller anonymiserad. Den här åtgörden kan inte slutföras."
"Delete my account","Radera mitt konto"
"Make a picture of your purchase to clearly illustrate your issue","Gör en bild av ditt köp för att tydligt illustrera ditt problem"
"Type your comment in 200 characters here...","Skriv din kommentar i 200 tecken här"
"Upload","Ladda upp"
"2nd Line Address","ytterligare inforamtion"
"not_tracked","Spåras inte"
"tracked_without_sign","Spåras utan signatur"
"tracked_with_sign","Spåras med signatur"
"moneyback_guarantee","Garanterad leverans"
"House No.","Husnr."
"Your order is expected to be ready for shipping on %s","Din beställning förväntas att  vara klar för leverans den %s"
"Street","Gata"
"Create account for later use","Skapa konto för senare användning"
"Delivery","Leverans"
"Estimated date","Beräknat datum"
"Collect from a pick-up point","Hämta från en upphämtningspunkt"
