"Special Price:","Now only:"
"My Wishlist","Wishlist"
"My Wishlist (%d item)","Wishlist (%d)"
"My Wishlist (%d items)","Wishlist (%d)"
"My Account","Account"
"Cart","Cart"
"View Cart","View Cart"
"View all items in your shopping cart","View all items in your shopping cart"
"View All","View All"
"Compare","Compare"
"Compare Products","Compare Products"
"Compare all selected items","Compare all selected items"
"Currency","Currency"
"Language","Language"
"Sign Up","Sign Up"
"Enter your e-mail","Enter your e-mail"
"Click to see more products from %s","Click to see more products from %s"
"Related Products","Related"
"Zoom","Zoom"
"image {current} of {total}","{current} / {total}"
"New","New"
"Sale","Sale"
"Categories","Categories"
"Menu","Menu"
"Email to a Friend","Share"
"Product Tags","Tags"
"Product Description","Details"
"Additional Information","Additional Info"
"Other Products","Other Products"
"default:Add to Cart","Add to Cart"
"Make it a gift","Make it a Gift"
"Add a Special Notecard","Add a special message"
"Please type your card text here...","Please type your text here..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Text may be a maximum of 5 lines. Do not use emojis or special characters."
"Select a Gift Wrapping","Select a Gift Wrapping"
"Select your gift wrapping","Select your wrapping Paper"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Make a gift to remember with one of our original wrapping options. Your present should shine on the inside and the outside!"
"No thank you","No, thank you"
"Coupon code ""%s"" was applied.","Coupon code ""%s"" will be applied on your check-out or payment page."
"Printing specialist","Printing specialist"
"Secure payment methods","Secure payment methods"
"High customer satisfaction","High customer satisfaction"
"Account","Account"
"Sign In","Log In"
"Contact","Contact"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.", "Please enter more characters or clean leading or trailing spaces."
"Create New Customer Account", "Create an Account"
"Discount Code","Discount Codes"
"Product name","Product Name"
"Quantity","Qty"
"House Number","House No."
"Search for help by topic, keywords","Popular topics: shipping, return, payment"
