"shipment_text_producing_days_1","Ordina prima delle 16:00, pronti a spedire in 1 giorno lavorativo."
"shipment_text_producing_days_2","Ordina prima delle 16:00, pronti a spedire in 2 giorni lavorativi."
"shipment_text_producing_days_3","Ordina prima delle 16:00, pronti a spedire in 3 giorni lavorativi."
"shipment_text_producing_days_4","Ordina prima delle 16:00, pronti a spedire in 4 giorni lavorativi."
"shipment_text_producing_days_5","Ordina prima delle 16:00, pronti a spedire in 6 giorni lavorativi."
"shipment_text_producing_days_8","Ordina prima delle 16:00, pronti a spedire in 8 giorni lavorativi."
"shipment_text_producing_days_10","Ordina prima delle 16:00, pronti a spedire in 10 giorni lavorativi."
"color_%s_shipment_text_producing_days_%s","Questo articolo di colore %s sar� pronto alla spedizione in %s giorn(i) lavorativ(i)."
"The total production time of the items in your basket is: %s days.","Gli oggetti nel carrello saranno spediti in %s giorn(i) lavorativ(i)."
"One or more items in your order are not on stock. Your total order will be shipped on %s","Uno o pi� articoli nel tuo ordine non sono in stock. Il vostro ordine completo verr� spedito il %s"
"Coupon code ""%s"" was applied.","Il coupon "" %s "" sar� applicato al check out o alla pagina del pagamento"
"edit_picture","Modifica"
"View Details","Mostra i dettagli"
"Existing customer? Log in to your account","Sei già un cliente? Connettiti al tuo account"
"Start typing your address or zip/postal code","Inizia a digitare il tuo indirizzo o il tuo codice postale"
"Not yet calculated","Non ancora calcolato"
"My billing and shipping address are the same","Il mio indirizzo di fatturazione e quello di spedizione sono gli stessi"
"Street Name","Nome della via"
"House Number","Numero di casa"
"Additional Address","Indirizzo aggiuntivo"
"Please select one or more attributes.","Seleziona uno o più attributi."
"Be the first to review this product","Recensisci il prodotto per primo"
"Add Your Review", "Aggiungi la tua recensione"
"Details", "Dettagli"
"Reviews","Recensioni"
"Newsletter Subscriptions", "Iscrizioni alla newsletter"
"Privacy Settings", "Impostazioni della privacy"
"My Product Reviews", "Le mie recensioni sui prodotti"
"Select location","Seleziona la posizione"
"To place your order, you must agree to the terms and conditions.","Per effettuare l'ordine, è necessario accettare i termini e le condizioni."
"Enter Keyword or Item","Inserisci parola chiave o elemento"
"Search entire store here...", "Cerca in tutto il negozio qui..."
"Items %1-%2 of %3 total","Articoli %1-%2 di %3 in totale"
"%1 Item","%1 Elemento"
"%1 Items","%1 Elementi"
"Prev","Precedente"
"Previous","Precedente"
"Next","Il prossimo"
"Your search returned no products.","La tua ricerca non ha prodotto prodotti."
"Search results for: '%1'","Cerca risultati per: '%1'"
"There are no products matching the selection.","Non ci sono prodotti corrispondenti alla selezione."
"Home","Home"
"Recently Viewed Products","Prodotti Visionati Recentemente"
"Your search returned no results.","La ricerca non ha prodotto risultati."
"Show","Mostrare"
"per page","per pagina"
"Did you mean","Intendevi"
"Related Terms","Termini Correlati"
"This is a required field.","Questo è un campo obbligatorio."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","L'ordine non è stato effettuato. Innanzitutto, accetta i termini e le condizioni, quindi prova a effettuare nuovamente l'ordine."
"Please choose your phone type", "Si prega di scegliere il tipo di telefono"
"Life is a matter of choices and every choice you make, makes you.", "La vita è una questione di scelte e ogni scelta che fai, ti fa."
"Checkout","Procedi all'ordine"
"Order now and your order will be shipped on %s!","Ordina ora e il tuo ordine verrà spedito il %s!"
"Order now and your order will be shipped on %1!","Ordina ora e il tuo ordine verrà spedito il %1!"
"Edit","Modifica"
"You added %s to your shopping cart.","Hai aggiunto %s al tuo carrello."
"You added %1 to your shopping cart.","Hai aggiunto %1 al tuo carrello."
"We can't add this item to your shopping cart right now.","Non possiamo aggiungere questo articolo al tuo carrello in questo momento."
"Cart Subtotal","Subtotale Carrello"
"Recently added item(s)","Articoli aggiunti di recente"
"View Cart","Visualizza Carrello"
"Tax","Tasse"
"Your order has been received.", "Il suo ordine è stato ricevuto."
"Thank you for your purchase!","Grazie per il tuo acquisto!"
"Print receipt", "Stampa ricevuta"
"Your order # is: %1.", "Il tuo ordine # è: %1."
"We'll email you an order confirmation with details and tracking info.", "Ti invieremo un'e-mail di conferma dell'ordine con i dettagli e le informazioni di tracciamento."
"We expect to ship your order on %1 and your order will be delivered on %2.", "Prevediamo di spedire il tuo ordine il %1 e il tuo ordine verrà consegnato il %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "Prevediamo di spedire il tuo ordine il %1 e il tuo ordine verrà consegnato tra %2 e %3."
"We expect to ship your order on %1.", "Prevediamo di spedire il tuo ordine il %1."
"Add a Special Notecard","Biglietto Di Auguri Gratuito"
"Please type your card text here...","Per favore scrivi qua..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Il testo deve essere massimo di 5 linee. Non utilizzare emoji o caratteri speciali."
"No thank you","No, grazie"
"Sign In","Accedi"
"Sign Out","Esci"
"The requested qty exceeds the maximum qty allowed in shopping cart","La quantità richiesta supera la quantità massima consentita nel carrello"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
"The shipping method is missing. Select the shipping method and try again.","Manca il metodo di spedizione. Seleziona il metodo di spedizione e riprova."
"Back to Store","Torna al negozio"
"For delivery questions.","Per domande sulla consegna."
"Ship here","Spedisci qui"
"Subscribe to Newsletter","Iscrivi alla newsletter"
"Some addresses can't be used due to the configurations for specific countries.","Alcuni indirizzi non possono essere utilizzati a causa delle configurazioni per paesi specifici."
"An error occurred on the server. Please try to place the order again.","Si è verificato un errore sul server. Si prega di riprovare a effettuare l'ordine."
"Submit chosen location","Invia la posizione scelta"
"Pickup locations found","Luoghi di ritiro trovati"
"Filter pickup locations","Filtra le località di ritiro"
"Postcode, city, street, house","CAP, città, via, casa"
"Search","Ricerca"
"search","ricerca"
"Late open (after: 18:00)","Apertura tardiva (dopo: 18:00)"
"Open early (before 9:00)","Aperto presto (prima delle 9:00)"
"Open on Sunday","Aperto la domenica"
"Choose a pickup location","Scegli un luogo di ritiro"
"I would like to receive a new one","Vorrei riceverne uno nuovo"
"I would like to get a refund","Vorrei ottenere un rimborso"
"Select subcategory", "Seleziona sottocategoria"
"Choose your solution", "Scegli la tua soluzione"
"Print quality","Qualità di stampa"
"Product quality (item)","Qualità del prodotto (articolo)"
"Wrong product (does not fit)","Prodotto sbagliato (non va bene)"
"It is not what I expected","Non è quello che mi aspettavo"
"Package not yet arrived","Pacco non ancora arrivato"
"Choose another Topic","Scegli un altro tema"
"Need help? Contact us here", "Hai bisogno di aiuto? Contattaci qui"
"Contact with Gocustomized support", "Contatta il supporto di Gocustomized"
"Hi %1, please specify your support request", "Ciao %1, per favore specifica la tua richiesta di supporto"
"Hi %1, how can we help you?", "Ciao %1, come possiamo aiutarti?"
"I need assistance with", "Ho bisogno di assistenza con"
"My received product(s)", "I miei prodotti ricevuti"
"My delivery", "Consegna"
"Cancel order", "Annulla ordine"
"Others", "Altri"
"Please select an issue", "Per favore seleziona la tua domanda o la tua lamentela"
"Contact", "Contatti"
"How can we help you?", "Come possiamo aiutarti?"
"DIRECT CUSTOMER SUPPORT", "SUPPORTO CLIENTI DIRETTO"
"Login", "Accedi"
"Please login to continue with direct support.", "Effettua il login per continuare con il supporto diretto."
"Not (yet) a customer? You can get in contact with our support team <a href=""javascript:otherQuestion()"">here</a>", "Non (ancora) registrato o hai una domanda generica? Contattaci <a href=""javascript:otherQuestion()"">qui</a>"
"Next", "Seguente"
"Other", "Altro"
"change", "cambio"
"Please fill in the required fields", "Per favore riempi i campi richiesti"
"View all topics","Vedi tutti gli argomenti"
"Name","Nome"
"Email address","E-mail"
"Question related to","La tua assistenza è relativa a:"
"My preferred solution","La mia soluzione preferita"
"Upload an image","Carica una foto relativa al problema riscontrato"
"Description of the issue","I tuoi commenti"
"Please note that we can only cancel your order if we did not start printing and shipping your product.","Si prega di notare che la cancellazione dell’ordine è possibile solo nel caso in cui non siano stati avviati i processi di stampa e di spedizione del tuo prodotto"
"Didn't find what you're looking for?","Non hai trovato ciò che stavi cercando? Contattaci per ricevere supporto diretto"
"contact us","Contattaci"
"Topics","Argomenti"
"Color %1 is out of stock and will be shipped on %2.","Il colore %1 non è disponibile e sarà spedito il %2."
"Search for help by topic, keywords","Chiedi aiuto attraverso argomento, parole chiave"
"Popular topics:","Argomenti popolari:"
"return","rimborso"
"shipping","spedizione"
"payment","pagamento"
"Cash On Delivery","Pagamento alla consegna"
"Credit Card","Carta di credito"
"Shipping & Handling","Spedizione & trattamento"
"My Account","Il mio account"
"You aren't subscribed to our newsletter.","Non sei iscritto a nessuna newletter al momento."
"Go back","Torna indietro"
"Back","Torna indietro"
"You saved the account information.","Hai salvato le informazioni sull'account."
"Please select a region, state or province.","Seleziona una regione, uno stato o una provincia."
"You have placed no orders.","Non hai effettuato nessun ordine."
"My Product Reviews","Le mie recensioni ai prodotti"
"You have submitted no reviews.","Non hai inviato nessuna recensione."
"Subscription option","Opzione di abbonamento"
"Policies text","Testo delle politiche"
"Read Privacy Policy","Leggi l'informativa sulla privacy"
"Read Cookie Policy","Leggi la Cookie Policy"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Qui puoi scaricare una copia dei tuoi dati personali che memorizziamo per il tuo account in formato CSV."
"Download","Scarica"
"Anonymise personal data","Anonimizza i dati personali"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","L'anonimizzazione dei tuoi dati personali significa che verranno sostituiti
                        con informazioni anonime non personali e prima di ciò otterrai il tuo
                        nuovo login al tuo indirizzo e-mail (la tua password rimarrà la stessa). Dopo questo processo,
                        il tuo indirizzo e-mail e tutti gli altri dati personali verranno rimossi dal sito web."
"I agree and I want to proceed","Accetto e voglio procedere"
"Proceed","Procedere"
"Delete account","Eliminare l'account"
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Richiedi di rimuovere il tuo account, insieme a tutti i tuoi dati personali,
                         verrà elaborato dal nostro personale.<br>L'eliminazione del tuo account rimuoverà tutto l'acquisto
                         cronologia, sconti, ordini, fatture e tutte le altre informazioni che potrebbero essere correlate al tuo
                         account o i tuoi acquisti.<br>Tutti i tuoi ordini e informazioni simili saranno
                         perso.<br>Non potrai ripristinare l'accesso al tuo account dopo
                         approviamo la tua richiesta di rimozione."
"I understand and I want to delete my account","Ho capito e voglio cancellare il mio account"
"Submit request","Inviare la richiesta"
"You updated your password.","Hai aggiornato la tua password."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se c'è un account associato a %1 riceverai un'email con un link per reimpostare la password."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Se c'è un account associato a %s riceverai un'email con un link per reimpostare la password."
"You have no other address entries in your address book.","Non hai altri indirizzi nella tua rubrica."
"Ship To","Spedire a"
"Reorder","Riordina"
"Recently Ordered","Ordinato di recente"
"View All","Mostra tutto"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","L'accesso all'account non è corretto o il tuo account è temporaneamente disabilitato. Attendi e riprova più tardi."
"Hi %s, Please include as much detail as possible","Ciao %s, per favore includi quanti più dettagli possibile"
"Login and password are required.","Login e password richiesti"
"You will be redirected to the PayPal website.","Verrai reindirizzato al sito di PayPal."
"Select Store:","Seleziona negozio:"
"Design now!","Personalizzare!"
"Thank you for registering with %s.","Grazie per esserti registrato con %s."
"Items Ordered","Articoli Ordinati"
"Order information","Informazioni sull'ordine"
"You have signed out and will go to our homepage in 5 seconds.","Ti sei disconnesso e tra 5 secondi andrai alla nostra homepage."
"You have not set a default shipping address.","Non hai impostato un indirizzo di spedizione predefinito."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La lunghezza minima di questo campo deve essere uguale o maggiore di %1 simboli. Gli spazi iniziali e finali verranno ignorati."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Il minimo delle diverse classi di caratteri nella password è %1. Classi di caratteri: Minuscole, Maiuscole, Cifre, Caratteri Speciali."
"Please enter the same value again.","Si prega di inserire di nuovo lo stesso valore."
"The minimum password length is %s","La lunghezza minima della password è %s"
"Please enter your email address below to receive a password reset link.","Inserisci il tuo indirizzo email qui sotto per ricevere un link per la reimpostazione della password."
"Set a New Password","Imposta una nuova password"
"Enter your coupon code if you have one.","Inserisci un codice sconto se lo hai."
"Enter a discount code if you got it.","Inserisci un codice sconto se lo hai."
"Forgot Your Password","Hai dimenticato la password"
"Forgot Your Password?","Hai dimenticato la password?"
"Thanks for reaching out to us we'll soon be in contact.","Grazie per averci contattato, ci metteremo presto in contatto."
"Estimated delivery:","Consegna stimata:"
"Estimated delivery","Consegna stimata"
"Create an Account","Crea un account"
"tracked_without_sign","Tracciato senza firma"
"tracked_with_sign","Tracciato con firma"
"moneyback_guarantee","Consegna garantita"
"Welcome to","Benvenuti su"
"Welcome to %store_name.","Benvenuti su %store_name."
"Welcome to %store_name","Benvenuti su %store_name"
"Welcome to %s.","Benvenuti su %s."
"Welcome to %1.","Benvenuti su %1."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Per accedere al nostro sito e impostare una password, fai click sul <a href=""%create_password_url"">collegamento</a>:"
"To sign in to our site and set a password, click on the <a href=""%s"">link</a>:","Per accedere al nostro sito e impostare una password, fai click sul <a href=""%s"">collegamento</a>:"
"To sign in to our site and set a password, click on the <a href=""%1"">link</a>:","Per accedere al nostro sito e impostare una password, fai click sul <a href=""%1"">collegamento</a>:"
"Email:","E-mail:"
"When you sign in to your account, you will be able to:","Accedendo al tuo account, potrai:"
"Proceed through checkout faster","Procedere più rapidamente al check-out"
"Check the status of orders","Controllare lo stato degli ordini"
"View past orders","Visualizzare gli ordini passati"
"Store alternative addresses (for shipping to multiple family members and friends)","Archiviare indirizzi alternativi (per spedire a più amici e a più membri della famiglia)"
"Thank you, %store_name","Grazie, %store_name"
"Thank you, %s","Grazie, %s"
"Thank you, %1","Grazie, %1"
"My Recent Reviews","Le mie recensioni recenti"
"Invoices","Fatture"
"Order Shipments","Spedizioni degli ordini"
"Back to My Orders","Torna a I miei ordini"
"Order # %1","Ordine # %1"
"Print All Invoices","Stampa tutte le fatture"
"Invoice #","Fattura #"
"Print Invoice","Stampa fattura"
"Qty Invoiced","Qtà Fatturata"
"Order Information","Informazioni sull'ordine"
"You submitted your review for moderation.","Hai inviato la tua recensione per la moderazione."
"Print All Shipments","Stampa tutte le spedizioni"
"Shipment #","Spedizione #"
"Shipment #%1","Spedizione #%1"
"Print Shipment","Stampa spedizione"
"Track this shipment","Traccia questa spedizione"
"Qty Shipped","Qtà spedita"
"Refunds","Rimborsi"
"Print All Refunds","Stampa tutti i rimborsi"
"Refund #","Rimborso #"
"Refund #%1","Rimborso #%1"
"Print Refund","Stampa rimborso"
"Discount Amount","Totale sconto"
"Row Total","Totale"
"Discount (%1)","Sconto (%1)"
"SEE MORE","VEDI DI PIÙ"
"SEE LESS","VEDI MENO"
"How Do You Rate This Product?","Come consideri questo prodotto?"
"Nickname","Soprannome"
"Summary of your Review","Riepilogo Della Tua Recensione"
"Review","Recensione"
"Submit Review","Invia Recensione"
"Welcome, %1!","Welkom, %1!"
"Shipments","Spedizioni"
"ALL REVIEWS","TUTTE LE RECENSIONI"
"All Reviews","Tutte le recensioni"
"View all reviews","Vedi tutte le recensioni"
